Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,NotWeekend,InOperatingHours,NotHoliday
70,4,250,14.7,1019.7,1,0,1
60,5,250,13.8,1019.7,1,0,1
80,3,250,15.3,1020.1,1,1,1
80,6,250,17.5,1020.1,1,1,1
80,6,250,19.7,1020.0,1,1,1
90,9,250,21.0,1019.7,1,1,1
90,11,250,22.2,1019.7,1,1,1
90,10,250,23.2,1019.5,1,1,1
110,13,250,23.8,1019.2,1,1,1
120,12,250,24.1,1019.0,1,1,1
110,9,250,24.4,1018.7,1,1,1
100,9,250,24.1,1018.3,1,1,1
110,13,250,23.4,1017.9,1,1,1
110,11,250,22.9,1017.7,1,1,1
100,8,250,21.9,1017.2,1,1,1
80,6,250,18.5,1016.9,1,0,1
90,10,250,16.4,1013.6,0,0,1
90,9,250,16.3,1013.3,0,0,1
90,10,250,16.2,1012.7,0,0,1
100,11,250,16.7,1012.6,0,1,1
90,11,250,17.9,1012.4,0,1,1
90,10,250,19.6,1012.1,0,1,1
100,9,250,20.9,1011.8,0,1,1
90,12,250,20.5,1011.4,0,1,1
100,14,250,20.9,1010.8,0,1,1
100,13,250,22.1,1010.4,0,1,1
100,14,250,22.4,1010.1,0,1,1
100,15,250,21.4,1009.7,0,1,1
90,12,250,21.3,1009.1,0,1,1
90,9,250,19.7,1008.9,0,1,1
90,8,100,17.6,1008.2,0,1,1
90,4,20,15.9,1006.3,0,0,1
100,3,60,15.2,1005.0,0,0,1
190,9,20,16.9,1004.0,0,1,1
230,7,60,17.3,1004.0,0,1,1
220,11,100,18.6,1004.0,0,1,1
150,6,20,17.2,1003.0,0,1,1
170,8,20,16.7,1003.0,0,0,1
190,13,100,16.4,1002.0,1,0,1
170,12,30,17.0,1002.0,1,0,1
160,12,30,17.2,1002.0,1,1,1
170,14,10,16.8,1002.0,1,1,1
180,19,10,16.9,1002.0,1,1,1
190,16,10,17.3,1002.0,1,1,1
190,16,10,17.9,1002.0,1,1,1
200,13,30,18.0,1002.0,1,1,1
200,14,10,19.3,1002.0,1,1,1
200,14,30,19.3,1002.0,1,1,1
200,14,30,19.7,1002.3,1,1,1
200,14,30,19.3,1002.5,1,1,1
200,13,60,18.7,1002.6,1,1,1
200,11,30,17.8,1002.7,1,1,1
200,10,60,17.8,1002.8,1,1,1
200,8,60,17.6,1002.7,1,1,1
190,9,20,16.4,1003.1,1,0,1
200,8,150,15.9,1002.8,1,0,1
190,5,20,16.2,1002.7,1,0,1
170,6,100,16.2,1002.8,1,0,1
170,7,10,16.5,1002.9,1,1,1
160,8,20,17.5,1003.2,1,1,1
160,7,20,17.7,1003.5,1,1,1
190,8,20,18.9,1003.8,1,1,1
190,9,20,19.6,1003.9,1,1,1
160,9,20,19.6,1004.0,1,1,1
170,10,150,19.6,1003.9,1,1,1
150,7,30,20.2,1003.8,1,1,1
150,9,30,20.1,1003.3,1,1,1
130,12,150,19.7,1003.0,1,1,1
